fname,fold,target,labels,esc10,src_file,take
4-182041-A-30,4,30,door_wood_knock,FALSE,182041,A
4-186518-A-30,4,30,door_wood_knock,FALSE,186518,A
4-187284-A-30,4,30,door_wood_knock,FALSE,187284,A
4-188878-A-30,4,30,door_wood_knock,FALSE,188878,A
4-189332-A-37,4,37,clock_alarm,FALSE,189332,A
4-198841-A-37,4,37,clock_alarm,FALSE,198841,A
4-204115-A-39,4,39,glass_breaking,FALSE,204115,A
4-204119-A-39,4,39,glass_breaking,FALSE,204119,A
4-204121-A-39,4,39,glass_breaking,FALSE,204121,A
4-204123-A-39,4,39,glass_breaking,FALSE,204123,A
4-204684-A-37,4,37,clock_alarm,FALSE,204684,A
4-204777-A-39,4,39,glass_breaking,FALSE,204777,A
4-204777-B-39,4,39,glass_breaking,FALSE,204777,B
4-204777-C-39,4,39,glass_breaking,FALSE,204777,C
4-209536-A-37,4,37,clock_alarm,FALSE,209536,A
4-209698-A-37,4,37,clock_alarm,FALSE,209698,A
4-211502-A-30,4,30,door_wood_knock,FALSE,211502,A
4-212698-A-39,4,39,glass_breaking,FALSE,212698,A
4-261068-A-30,4,30,door_wood_knock,FALSE,261068,A
4-67358-A-42,4,42,siren,FALSE,67358,A
4-80761-A-42,4,42,siren,FALSE,80761,A
4-90014-A-42,4,42,siren,FALSE,90014,A
4-90014-B-42,4,42,siren,FALSE,90014,B
5-117118-A-42,5,42,siren,FALSE,117118,A
5-117120-A-42,5,42,siren,FALSE,117120,A
5-117122-A-42,5,42,siren,FALSE,117122,A
5-133989-A-42,5,42,siren,FALSE,133989,A
5-133989-B-42,5,42,siren,FALSE,133989,B
5-150409-A-42,5,42,siren,FALSE,150409,A
5-160551-A-42,5,42,siren,FALSE,160551,A
5-179294-A-46,5,46,church_bells,FALSE,179294,A
5-184323-A-42,5,42,siren,FALSE,184323,A
5-188716-A-46,5,46,church_bells,FALSE,188716,A
5-197988-A-46,5,46,church_bells,FALSE,197988,A
5-198373-A-46,5,46,church_bells,FALSE,198373,A
5-201170-A-46,5,46,church_bells,FALSE,201170,A
5-201172-A-46,5,46,church_bells,FALSE,201172,A
5-204741-A-46,5,46,church_bells,FALSE,204741,A
5-210612-A-37,5,37,clock_alarm,FALSE,210612,A
5-211408-A-37,5,37,clock_alarm,FALSE,211408,A
5-218980-A-30,5,30,door_wood_knock,FALSE,218980,A
5-218981-A-30,5,30,door_wood_knock,FALSE,218981,A
5-219044-A-46,5,46,church_bells,FALSE,219044,A
5-219242-A-37,5,37,clock_alarm,FALSE,219242,A
5-219242-B-37,5,37,clock_alarm,FALSE,219242,B
5-221528-A-39,5,39,glass_breaking,FALSE,221528,A
5-221529-A-39,5,39,glass_breaking,FALSE,221529,A
5-223176-A-37,5,37,clock_alarm,FALSE,223176,A
5-233605-A-39,5,39,glass_breaking,FALSE,233605,A
5-233607-A-39,5,39,glass_breaking,FALSE,233607,A
5-233645-A-37,5,37,clock_alarm,FALSE,233645,A
5-234247-A-37,5,37,clock_alarm,FALSE,234247,A
5-235644-A-30,5,30,door_wood_knock,FALSE,235644,A
5-250026-A-30,5,30,door_wood_knock,FALSE,250026,A
5-250026-B-30,5,30,door_wood_knock,FALSE,250026,B
5-250629-A-37,5,37,clock_alarm,FALSE,250629,A
5-251426-A-30,5,30,door_wood_knock,FALSE,251426,A
5-251426-B-30,5,30,door_wood_knock,FALSE,251426,B
5-256512-A-30,5,30,door_wood_knock,FALSE,256512,A
5-257642-A-39,5,39,glass_breaking,FALSE,257642,A
5-260432-A-39,5,39,glass_breaking,FALSE,260432,A
5-260433-A-39,5,39,glass_breaking,FALSE,260433,A
5-260434-A-39,5,39,glass_breaking,FALSE,260434,A
